Coad_ID,cenRA,cenDec
0030p106,3.07692,10.601111
0030p121,3.090128,12.115556
0030p605,3.00005,60.577778
0031m137,3.103459,-13.63
0031m152,3.13043,-15.144444
0031m167,3.144119,-16.658889
0031m182,3.171814,-18.173333
0031m621,3.157891,-62.092222
0031p136,3.103459,13.63
0031p151,3.13043,15.144444
0031p166,3.144119,16.658889
0031p181,3.171814,18.173333
0031p620,3.157891,62.092222
0032m197,3.200006,-19.687778
0032m213,3.228711,-21.202222
0032m228,3.257935,-22.716667
0032p196,3.200006,19.687778
0032p212,3.228711,21.202222
0032p227,3.257935,22.716667
0033m243,3.302752,-24.231111
0033m258,3.333351,-25.745556
0033m273,3.380295,-27.26
0033m637,3.30282,-63.606667
0033p242,3.302752,24.231111
0033p257,3.333351,25.745556
0033p272,3.380295,27.26
0033p636,3.30282,63.606667
0034m288,3.428578,-28.774444
0034m303,3.478269,-30.288889
0034m652,3.495164,-65.121111
0034p287,3.428578,28.774444
0034p302,3.478269,30.288889
0034p651,3.495164,65.121111
0035m319,3.529429,-31.803333
0035m334,3.599985,-33.317778
0035p318,3.529429,31.803333
0035p333,3.599985,33.317778
0036m349,3.654826,-34.832222
0036p348,3.654826,34.832222
0037m364,3.730556,-36.346667
0037m379,3.789498,-37.861111
0037m667,3.711317,-66.635556
0037p363,3.730556,36.346667
0037p378,3.789498,37.861111
0037p666,3.711317,66.635556
0038m394,3.870986,-39.375556
0038p393,3.870986,39.375556
0039m409,3.956062,-40.89
0039m682,3.955937,-68.15
0039p408,3.956062,40.89
0039p681,3.955937,68.15
0040m425,4.044971,-42.404444
0040p424,4.044971,42.404444
0041m440,4.16182,-43.918889
0041m697,4.186176,-69.664444
0041p439,4.16182,43.918889
0041p696,4.186176,69.664444
0042m455,4.260353,-45.433333
0042p454,4.260353,45.433333
0043m470,4.363674,-46.947778
0043p469,4.363674,46.947778
0044m485,4.5,-48.462222
0044p484,4.5,48.462222
0045m016,4.537832,-1.514444
0045m031,4.537835,-3.028889
0045m046,4.556959,-4.543333
0045m061,4.556979,-6.057778
0045m076,4.576271,-7.572222
0045m091,4.595741,-9.086667
0045m712,4.50013,-71.178889
0045p000,4.537832,0.0
0045p015,4.537832,1.514444
0045p030,4.537835,3.028889
0045p045,4.556959,4.543333
0045p060,4.556979,6.057778
0045p075,4.576271,7.572222
0045p090,4.595741,9.086667
0045p711,4.50013,71.178889
0046m107,4.61538,-10.601111
0046m122,4.635193,-12.115556
0046m137,4.655188,-13.63
0046m152,4.695645,-15.144444
0046m500,4.645139,-49.976667
0046p106,4.61538,10.601111
0046p121,4.635193,12.115556
0046p136,4.655188,13.63
0046p151,4.695645,15.144444
0046p499,4.645139,49.976667
0047m167,4.716178,-16.658889
0047m182,4.757721,-18.173333
0047m515,4.768264,-51.491111
0047p166,4.716178,16.658889
0047p181,4.757721,18.173333
0047p514,4.768264,51.491111
0048m197,4.800009,-19.687778
0048m213,4.843066,-21.202222
0048m228,4.886903,-22.716667
0048m727,4.865002,-72.693333
0048p196,4.800009,19.687778
0048p212,4.843066,21.202222
0048p227,4.886903,22.716667
0048p726,4.865002,72.693333
0049m243,4.954128,-24.231111
0049m531,4.931561,-53.005556
0049p242,4.954128,24.231111
0049p530,4.931561,53.005556
0050m258,5.000027,-25.745556
0050m273,5.070442,-27.26
0050p257,5.000027,25.745556
0050p272,5.070442,27.26
0051m288,5.142867,-28.774444
0051m546,5.106444,-54.52
0051p287,5.142867,28.774444
0051p545,5.106444,54.52
0052m303,5.217404,-30.288889
0052m319,5.294144,-31.803333
0052m743,5.294293,-74.207778
0052p302,5.217404,30.288889
0052p318,5.294144,31.803333
0052p742,5.294293,74.207778
0053m334,5.399978,-33.317778
0053m561,5.333264,-56.034444
0053p333,5.399978,33.317778
0053p560,5.333264,56.034444
0054m349,5.48224,-34.832222
0054p348,5.48224,34.832222
0055m364,5.595835,-36.346667
0055m576,5.538436,-57.548889
0055p363,5.595835,36.346667
0055p575,5.538436,57.548889
0056m379,5.684246,-37.861111
0056p378,5.684246,37.861111
0057m591,5.760008,-59.063333
0057p590,5.760008,59.063333
0058m394,5.806479,-39.375556
0058m758,5.806721,-75.722222
0058p393,5.806479,39.375556
0058p757,5.806721,75.722222
0059m409,5.934093,-40.89
0059p408,5.934093,40.89
0060m016,6.050443,-1.514444
0060m031,6.050447,-3.028889
0060m046,6.075945,-4.543333
0060m061,6.075972,-6.057778
0060m425,6.067456,-42.404444
0060m606,6.000101,-60.577778
0060p000,6.050443,0.0
0060p015,6.050443,1.514444
0060p030,6.050447,3.028889
0060p045,6.075945,4.543333
0060p060,6.075972,6.057778
0060p424,6.067456,42.404444
0060p605,6.000101,60.577778
0061m076,6.101695,-7.572222
0061m091,6.127654,-9.086667
0061m107,6.15384,-10.601111
0061m122,6.180257,-12.115556
0061p075,6.101695,7.572222
0061p090,6.127654,9.086667
0061p106,6.15384,10.601111
0061p121,6.180257,12.115556
0062m137,6.206918,-13.63
0062m152,6.26086,-15.144444
0062m167,6.288237,-16.658889
0062m440,6.24273,-43.918889
0062p136,6.206918,13.63
0062p151,6.26086,15.144444
0062p166,6.288237,16.658889
0062p439,6.24273,43.918889
0063m182,6.343628,-18.173333
0063m455,6.39053,-45.433333
0063m621,6.315783,-62.092222
0063p181,6.343628,18.173333
0063p454,6.39053,45.433333
0063p620,6.315783,62.092222
0064m197,6.400013,-19.687778
0064m213,6.457422,-21.202222
0064m773,6.429017,-77.236667
0064p196,6.400013,19.687778
0064p212,6.457422,21.202222
0064p772,6.429017,77.236667
0065m228,6.51587,-22.716667
0065m470,6.54551,-46.947778
0065p227,6.51587,22.716667
0065p469,6.54551,46.947778
0066m243,6.605504,-24.231111
0066m258,6.666702,-25.745556
0066m637,6.605641,-63.606667
0066p242,6.605504,24.231111
0066p257,6.666702,25.745556
0066p636,6.605641,63.606667
0067m273,6.760589,-27.26
0067m485,6.749999,-48.462222
0067p272,6.760589,27.26
0067p484,6.749999,48.462222
0068m288,6.857157,-28.774444
0068p287,6.857157,28.774444
0069m303,6.956539,-30.288889
0069m500,6.967708,-49.976667
0069m652,6.990328,-65.121111
0069p302,6.956539,30.288889
0069p499,6.967708,49.976667
0069p651,6.990328,65.121111
0070m319,7.058858,-31.803333
0070p318,7.058858,31.803333
0071m334,7.199971,-33.317778
0071m515,7.152396,-51.491111
0071p333,7.199971,33.317778
0071p514,7.152396,51.491111
0072m788,7.200712,-78.751111
0072p787,7.200712,78.751111
0073m349,7.309653,-34.832222
0073m531,7.397342,-53.005556
0073p348,7.309653,34.832222
0073p530,7.397342,53.005556
0074m364,7.461113,-36.346667
0074m667,7.422635,-66.635556
0074p363,7.461113,36.346667
0074p666,7.422635,66.635556
0075m016,7.563054,-1.514444
0075m031,7.563058,-3.028889
0075m046,7.594931,-4.543333
0075m061,7.594965,-6.057778
0075m379,7.578995,-37.861111
0075p000,7.563054,0.0
0075p015,7.563054,1.514444
0075p030,7.563058,3.028889
0075p045,7.594931,4.543333
0075p060,7.594965,6.057778
0075p378,7.578995,37.861111
0076m076,7.627118,-7.572222
0076m091,7.659568,-9.086667
0076m107,7.6923,-10.601111
0076m546,7.659667,-54.52
0076p075,7.627118,7.572222
0076p090,7.659568,9.086667
0076p106,7.6923,10.601111
0076p545,7.659667,54.52
0077m122,7.725321,-12.115556
0077m137,7.758647,-13.63
0077m394,7.741972,-39.375556
0077p121,7.725321,12.115556
0077p136,7.758647,13.63
0077p393,7.741972,39.375556
0078m152,7.826075,-15.144444
0078m167,7.860296,-16.658889
0078p151,7.826075,15.144444
0078p166,7.860296,16.658889
0079m182,7.929536,-18.173333
0079m409,7.912125,-40.89
0079m561,7.999897,-56.034444
0079m682,7.911875,-68.15
0079p181,7.929536,18.173333
0079p408,7.912125,40.89
0079p560,7.999897,56.034444
0079p681,7.911875,68.15
0080m197,8.000016,-19.687778
0080m213,8.071777,-21.202222
0080m425,8.089941,-42.404444
0080p196,8.000016,19.687778
0080p212,8.071777,21.202222
0080p424,8.089941,42.404444
0081m228,8.144838,-22.716667
0081p227,8.144838,22.716667
0082m243,8.25688,-24.231111
0082p242,8.25688,24.231111
0083m258,8.333378,-25.745556
0083m440,8.32364,-43.918889
0083m576,8.307655,-57.548889
0083m697,8.372352,-69.664444
0083m803,8.371426,-80.265556
0083p257,8.333378,25.745556
0083p439,8.32364,43.918889
0083p575,8.307655,57.548889
0083p696,8.372352,69.664444
0083p802,8.371426,80.265556
0084m273,8.450736,-27.26
0084p272,8.450736,27.26
0085m288,8.571446,-28.774444
0085m455,8.520707,-45.433333
0085p287,8.571446,28.774444
0085p454,8.520707,45.433333
0086m303,8.695674,-30.288889
0086m591,8.640012,-59.063333
0086p302,8.695674,30.288889
0086p590,8.640012,59.063333
0087m470,8.727347,-46.947778
0087p469,8.727347,46.947778
0088m319,8.823573,-31.803333
0088p318,8.823573,31.803333
0089m334,8.999963,-33.317778
0089m485,8.999999,-48.462222
0089p333,8.999963,33.317778
0089p484,8.999999,48.462222
0090m016,9.075664,-1.514444
0090m031,9.07567,-3.028889
0090m606,9.000151,-60.577778
0090m712,9.00026,-71.178889
0090p000,9.075665,0.0
0090p015,9.075664,1.514444
0090p030,9.07567,3.028889
0090p605,9.000151,60.577778
0090p711,9.00026,71.178889
0091m046,9.113918,-4.543333
0091m061,9.113958,-6.057778
0091m076,9.152542,-7.572222
0091m091,9.191481,-9.086667
0091m349,9.137066,-34.832222
0091p045,9.113918,4.543333
0091p060,9.113958,6.057778
0091p075,9.152542,7.572222
0091p090,9.191481,9.086667
0091p348,9.137066,34.832222
0092m107,9.23076,-10.601111
0092m122,9.270385,-12.115556
0092m500,9.290277,-49.976667
0092p106,9.23076,10.601111
0092p121,9.270385,12.115556
0092p499,9.290277,49.976667
0093m137,9.310376,-13.63
0093m152,9.39129,-15.144444
0093m364,9.326391,-36.346667
0093p136,9.310376,13.63
0093p151,9.39129,15.144444
0093p363,9.326391,36.346667
0094m167,9.432356,-16.658889
0094m379,9.473744,-37.861111
0094m621,9.473674,-62.092222
0094p166,9.432356,16.658889
0094p378,9.473744,37.861111
0094p620,9.473674,62.092222
0095m182,9.515443,-18.173333
0095m515,9.536528,-51.491111
0095p181,9.515443,18.173333
0095p514,9.536528,51.491111
0096m197,9.600019,-19.687778
0096m213,9.686133,-21.202222
0096m394,9.677465,-39.375556
0096p196,9.600019,19.687778
0096p212,9.686133,21.202222
0096p393,9.677465,39.375556
0097m228,9.773806,-22.716667
0097m727,9.730004,-72.693333
0097m818,9.729462,-81.78
0097p227,9.773806,22.716667
0097p726,9.730004,72.693333
0097p817,9.729462,81.78
0098m409,9.890156,-40.89
0098m531,9.863123,-53.005556
0098p408,9.890156,40.89
0098p530,9.863123,53.005556
0099m243,9.908256,-24.231111
0099m637,9.908461,-63.606667
0099p242,9.908256,24.231111
0099p636,9.908461,63.606667
0100m258,10.000054,-25.745556
0100p257,10.000054,25.745556
0101m273,10.140884,-27.26
0101m425,10.112427,-42.404444
0101p272,10.140884,27.26
0101p424,10.112427,42.404444
0102m288,10.285735,-28.774444
0102m546,10.212889,-54.52
0102p287,10.285735,28.774444
0102p545,10.212889,54.52
0104m303,10.434808,-30.288889
0104m440,10.40455,-43.918889
0104m652,10.485492,-65.121111
0104p302,10.434808,30.288889
0104p439,10.40455,43.918889
0104p651,10.485492,65.121111
0105m016,10.588275,-1.514444
0105m031,10.588282,-3.028889
0105m319,10.588287,-31.803333
0105m743,10.588585,-74.207778
0105p000,10.588275,0.0
0105p015,10.588275,1.514444
0105p030,10.588282,3.028889
0105p318,10.588287,31.803333
0105p742,10.588585,74.207778
0106m046,10.632904,-4.543333
0106m061,10.632951,-6.057778
0106m076,10.677966,-7.572222
0106m455,10.650883,-45.433333
0106m561,10.666529,-56.034444
0106p045,10.632904,4.543333
0106p060,10.632951,6.057778
0106p075,10.677966,7.572222
0106p454,10.650883,45.433333
0106p560,10.666529,56.034444
0107m091,10.723395,-9.086667
0107m107,10.76922,-10.601111
0107m334,10.799956,-33.317778
0107p090,10.723395,9.086667
0107p106,10.76922,10.601111
0107p333,10.799956,33.317778
0108m122,10.81545,-12.115556
0108m137,10.862106,-13.63
0108p121,10.81545,12.115556
0108p136,10.862106,13.63
0109m152,10.956505,-15.144444
0109m349,10.964479,-34.832222
0109m470,10.909184,-46.947778
0109p151,10.956505,15.144444
0109p348,10.964479,34.832222
0109p469,10.909184,46.947778
0110m167,11.004415,-16.658889
0110m576,11.076873,-57.548889
0110p166,11.004415,16.658889
0110p575,11.076873,57.548889
0111m182,11.10135,-18.173333
0111m364,11.191669,-36.346667
0111m667,11.133952,-66.635556
0111p181,11.10135,18.173333
0111p363,11.191669,36.346667
0111p666,11.133952,66.635556
0112m197,11.200022,-19.687778
0112m485,11.249999,-48.462222
0112p196,11.200022,19.687778
0112p484,11.249999,48.462222
0113m213,11.300488,-21.202222
0113m379,11.368493,-37.861111
0113p212,11.300488,21.202222
0113p378,11.368493,37.861111
0114m228,11.402773,-22.716667
0114p227,11.402773,22.716667
0115m243,11.559631,-24.231111
0115m591,11.520016,-59.063333
0115p242,11.559631,24.231111
0115p590,11.520016,59.063333
0116m258,11.666729,-25.745556
0116m394,11.612958,-39.375556
0116m500,11.612847,-49.976667
0116m758,11.613443,-75.722222
0116m833,11.613164,-83.294444
0116p257,11.666729,25.745556
0116p393,11.612958,39.375556
0116p499,11.612847,49.976667
0116p757,11.613443,75.722222
0116p832,11.613164,83.294444
0118m273,11.831031,-27.26
0118m409,11.868187,-40.89
0118m682,11.867812,-68.15
0118p272,11.831031,27.26
0118p408,11.868187,40.89
0118p681,11.867812,68.15
0119m515,11.92066,-51.491111
0119p514,11.92066,51.491111
0120m288,12.000024,-28.774444
0120m606,12.000201,-60.577778
0120p287,12.000024,28.774444
0120p605,12.000201,60.577778
0121m016,12.100886,-1.514444
0121m031,12.100894,-3.028889
